,Hallmark,Subprocess,GeneSymbol,SpearmanR,raw_pval
0,Autophagy,Autophagy core,ULK3,0.0003954868969522224,0.995656144244851
1,Autophagy,Autophagy core,TRAF6,0.029797259617280338,0.6816020727744199
2,Autophagy,Autophagy core,RB1CC1,-0.1420256861287021,0.04940408896281595
3,Autophagy,Autophagy core,ULK2,-0.14785845481208756,0.040690349551521864
4,Autophagy,Autophagy core,BECN1,-0.18878133853010584,0.008732011605212952
5,Autophagy,Autophagy core,PIK3C3,-0.05138888055142791,0.4790177123192466
6,Autophagy,Autophagy core,ATG14,0.029539093576953328,0.6842124032397303
7,Autophagy,Autophagy core,UVRAG,-0.009146419291283297,0.8998019429600757
8,Autophagy,Autophagy core,RNF2,0.18713956239614238,0.00934542890439179
9,Autophagy,Autophagy core,TLR4,-0.22214326224763625,0.001956257563873487
10,Autophagy,Autophagy core,SH3GLB1,-0.24966264244181338,0.0004788708387724634
11,Autophagy,Autophagy core,VMP1,-0.21232081348203602,0.0031107484822420904
12,Autophagy,Autophagy core,BIRC5,0.4965580756362094,2.390250508041179e-13
13,Autophagy,Autophagy core,RHOQ,-0.15258933490689897,0.03460742346016319
14,Autophagy,Autophagy core,WAS,-0.06739834111055029,0.35296312790645257
15,Autophagy,Autophagy core,PAQR3,-0.09745024422921376,0.17872361142758308
16,Autophagy,Autophagy core,SLAMF1,0.04736907713857596,0.5141138176220716
17,Autophagy,Autophagy core,ITPR3,-0.08838699321041651,0.2228001190166606
18,Autophagy,Autophagy core,PINK1,-0.09667528587144242,0.18221980061418147
19,Autophagy,Autophagy core,STK38,-0.14713390355563327,0.041697033160362246
20,Autophagy,Autophagy core,NEDD4,-0.4090565314987285,3.842903768141198e-09
21,Autophagy,Autophagy core,GABARAPL1,0.12889239969830538,0.07478794941779433
22,Autophagy,Autophagy core,ATG4A,-0.1690518155017123,0.01907556348530971
23,Autophagy,Autophagy core,ATG3,-0.014067227935935551,0.8464437006865768
24,Autophagy,Autophagy core,ATG7,-0.12761685290884023,0.07773474816714196
25,Autophagy,Autophagy core,MAP1LC3C,-0.003523580954394095,0.9613133830355256
26,Autophagy,Autophagy core,MAP1LC3B,-0.2560809656909084,0.00033687258333615477
27,Autophagy,Autophagy core,GABARAPL2,-0.5371384381252126,9.59585953161086e-16
28,Autophagy,Autophagy core,ATG4B,0.020034606339178317,0.7826843563405471
29,Autophagy,Autophagy core,MAP1LC3A,-0.0688579134549217,0.34261055615503844
30,Autophagy,Autophagy core,ATG4C,0.33642927059107175,1.8324731216263978e-06
31,Autophagy,Autophagy core,ATG4D,0.1970950827319967,0.006141549823613778
32,Autophagy,Autophagy core,GABARAP,0.1174900852566049,0.10459247284519374
33,Autophagy,Autophagy core,MAP1LC3B2,-0.20481664773322691,0.004375159780685663
34,Autophagy,Autophagy core,ATG2B,-0.10847417649649743,0.1342189964707383
35,Autophagy,Autophagy core,ATG2A,0.1519933937668265,0.0353285159652793
36,Autophagy,Autophagy core,WIPI2,-0.084977540184427,0.24123102084033776
37,Autophagy,Autophagy core,WIPI1,-0.1598367466293651,0.026790426583284517
38,Autophagy,Autophagy core,ATG9A,-0.05531182770670149,0.4460588087720506
39,Autophagy,Autophagy core,ATG9B,0.06963145232358686,0.337202837121649
40,Autophagy,Autophagy core,WDR45B,0.013472606309969453,0.8528593944614831
41,Autophagy,Autophagy core,WDR45,-0.1904408180991475,0.008148521379972518
42,Autophagy,Autophagy core,ATG12,-0.1992378813783525,0.005596591642917688
43,Autophagy,Autophagy core,ATG16L1,0.09589988478030552,0.18576809252566776
44,Autophagy,Autophagy core,ATG5,0.1039256754625954,0.1514238355631832
45,Autophagy,Autophagy core,ATG10,0.2223576496474298,0.0019361229372503036
46,Autophagy,Autophagy core,ATG16L2,-0.06354898676457457,0.38119528530169666
47,Autophagy,Autophagy core,OPTN,-0.46966937791169117,6.314589350438547e-12
48,Autophagy,Autophagy core,NBR1,-0.27465954952466587,0.00011556285066443406
49,Autophagy,Autophagy core,TAX1BP1,-0.3819067829137955,4.605453710783935e-08
50,Autophagy,Autophagy core,CBL,0.33635297508206413,1.8429624384434638e-06
51,Autophagy,Autophagy core,CALCOCO2,-0.3870110146218627,2.9366291646956982e-08
52,Autophagy,Autophagy core,BNIP3L,-0.17750164936456372,0.01377549429615496
53,Autophagy,Autophagy core,WDFY3,-0.22195908649746274,0.0019737068881392483
54,Autophagy,Autophagy core,BAG3,-0.30137569038017203,2.1578161852765276e-05
55,Autophagy,Autophagy core,TECPR1,-0.09943423706058971,0.1699989211878416
56,Autophagy,Autophagy core,HDAC6,0.2333655036461053,0.0011236303227794972
57,Autophagy,Autophagy core,NEDD4L,0.5001734891062827,1.5052499005110766e-13
58,Autophagy,Autophagy core,CUL4A,-0.060534193683501096,0.4042390888969135
59,Autophagy,Autophagy core,CAPN2,-0.5911503032946837,1.7672324102394362e-19
60,Autophagy,Autophagy core,CAPNS1,-0.21051627112290724,0.003380171654085685
61,Autophagy,Autophagy core,FEZ1,-0.04082743611481081,0.5739375930421833
62,Autophagy,Autophagy core,STK39,0.1478532982237512,0.040697441195572635
